old_url,new_name
https://wiki.itldc.com/wp-content/uploads/2024/08/1-1024x640.png,wiki/legacy/2024-08-1-1024x640.png
https://wiki.itldc.com/wp-content/uploads/2024/08/2-1024x711.png,wiki/legacy/2024-08-2-1024x711.png
https://wiki.itldc.com/wp-content/uploads/2024/08/Screenshot-2024-08-13-at-17.55.14-1024x763.png,wiki/legacy/2024-08-Screenshot-2024-08-13-at-17.55.14-1024x763.png
https://wiki.itldc.com/wp-content/uploads/2024/08/Screenshot-2024-08-13-at-17.55.30-1024x759.png,wiki/legacy/2024-08-Screenshot-2024-08-13-at-17.55.30-1024x759.png
https://wiki.itldc.com/wp-content/uploads/2024/08/Screenshot-2024-08-13-at-17.56.06-1024x706.png,wiki/legacy/2024-08-Screenshot-2024-08-13-at-17.56.06-1024x706.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-11.40.28.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-11.40.28.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-11.44.34.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-11.44.34.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-11.51.04.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-11.51.04.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-11.52.41.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-11.52.41.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-11.59.00.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-11.59.00.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-11.51.35.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-11.51.35.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-11.57.23-1024x335.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-11.57.23-1024x335.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-11.57.51-1024x335.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-11.57.51-1024x335.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-12.24.47.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-12.24.47.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-12.01.40-1-1024x428.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-12.01.40-1-1024x428.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-12.02.31-1024x428.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-12.02.31-1024x428.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-12.07.00-1024x428.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-12.07.00-1024x428.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-12.07.56-1024x428.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-12.07.56-1024x428.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-12.08.26-1024x428.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-12.08.26-1024x428.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-12.09.33-1024x428.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-12.09.33-1024x428.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-12.09.57-1024x428.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-12.09.57-1024x428.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-13.03.23.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-13.03.23.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-13.03.56.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-13.03.56.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-13.05.51-edited.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-13.05.51-edited.png
https://wiki.itldc.com/wp-content/uploads/2022/06/Screenshot-2022-06-29-at-13.06.13-764x1024.png,wiki/legacy/2022-06-Screenshot-2022-06-29-at-13.06.13-764x1024.png
https://wiki.itldc.com/wp-content/uploads/2022/07/Screenshot-2022-07-26-at-16.03.27.png,wiki/legacy/2022-07-Screenshot-2022-07-26-at-16.03.27.png
https://wiki.itldc.com/wp-content/uploads/2022/07/Screenshot-2022-07-26-at-13.23.29.png,wiki/legacy/2022-07-Screenshot-2022-07-26-at-13.23.29.png
https://wiki.itldc.com/wp-content/uploads/2022/07/Screenshot-2022-07-26-at-13.26.17.png,wiki/legacy/2022-07-Screenshot-2022-07-26-at-13.26.17.png
https://wiki.itldc.com/wp-content/uploads/2022/07/Screenshot-2022-07-26-at-13.26.44.png,wiki/legacy/2022-07-Screenshot-2022-07-26-at-13.26.44.png
https://wiki.itldc.com/wp-content/uploads/2022/07/Screenshot-2022-07-26-at-13.27.31.png,wiki/legacy/2022-07-Screenshot-2022-07-26-at-13.27.31.png
https://wiki.itldc.com/wp-content/uploads/2022/07/Screenshot-2022-07-26-at-13.33.01.png,wiki/legacy/2022-07-Screenshot-2022-07-26-at-13.33.01.png
https://wiki.itldc.com/wp-content/uploads/2022/07/Screenshot-2022-07-26-at-13.33.34-1.png,wiki/legacy/2022-07-Screenshot-2022-07-26-at-13.33.34-1.png
https://wiki.itldc.com/wp-content/uploads/2022/07/Screenshot-2022-07-26-at-13.34.45.png,wiki/legacy/2022-07-Screenshot-2022-07-26-at-13.34.45.png
https://wiki.itldc.com/wp-content/uploads/2022/07/Screenshot-2022-07-26-at-13.35.04.png,wiki/legacy/2022-07-Screenshot-2022-07-26-at-13.35.04.png
https://wiki.itldc.com/wp-content/uploads/2023/07/adhhshgsdf-1024x746.jpg,wiki/legacy/2023-07-adhhshgsdf-1024x746.jpg
https://wiki.itldc.com/wp-content/uploads/2023/07/Screenshot-2023-07-07-at-15.47.39-1024x529.png,wiki/legacy/2023-07-Screenshot-2023-07-07-at-15.47.39-1024x529.png
https://wiki.itldc.com/wp-content/uploads/2023/07/Screenshot-2023-07-07-at-15.58.19-1024x529.png,wiki/legacy/2023-07-Screenshot-2023-07-07-at-15.58.19-1024x529.png
https://wiki.itldc.com/wp-content/uploads/2024/05/Screenshot-2024-05-15-at-13.46.22.png,wiki/legacy/2024-05-Screenshot-2024-05-15-at-13.46.22.png
https://wiki.itldc.com/wp-content/uploads/2024/05/Screenshot-2024-05-15-at-13.53.13.png,wiki/legacy/2024-05-Screenshot-2024-05-15-at-13.53.13.png
https://wiki.itldc.com/wp-content/uploads/2024/05/Screenshot-2024-05-15-at-13.54.03-1024x492.png,wiki/legacy/2024-05-Screenshot-2024-05-15-at-13.54.03-1024x492.png
https://wiki.itldc.com/wp-content/uploads/2024/05/Screenshot-2024-05-15-at-13.55.21-1024x713.png,wiki/legacy/2024-05-Screenshot-2024-05-15-at-13.55.21-1024x713.png
https://wiki.itldc.com/wp-content/uploads/2024/05/Screenshot-2024-05-15-at-14.02.05-1024x777.png,wiki/legacy/2024-05-Screenshot-2024-05-15-at-14.02.05-1024x777.png
https://wiki.itldc.com/wp-content/uploads/2024/05/Screenshot-2024-05-15-at-14.03.08-1024x431.png,wiki/legacy/2024-05-Screenshot-2024-05-15-at-14.03.08-1024x431.png
https://wiki.itldc.com/wp-content/uploads/2024/05/Screenshot-2024-05-15-at-13.32.28.png,wiki/legacy/2024-05-Screenshot-2024-05-15-at-13.32.28.png
https://wiki.itldc.com/wp-content/uploads/2024/05/Screenshot-2024-05-15-at-13.34.36.png,wiki/legacy/2024-05-Screenshot-2024-05-15-at-13.34.36.png
https://wiki.itldc.com/wp-content/uploads/2024/05/Screenshot-2024-05-15-at-13.35.09.png,wiki/legacy/2024-05-Screenshot-2024-05-15-at-13.35.09.png
https://wiki.itldc.com/wp-content/uploads/2022/09/Screenshot-2022-09-26-at-15.45.18.png,wiki/legacy/2022-09-Screenshot-2022-09-26-at-15.45.18.png
https://wiki.itldc.com/wp-content/uploads/2022/09/Screenshot-2022-09-26-at-15.45.33.png,wiki/legacy/2022-09-Screenshot-2022-09-26-at-15.45.33.png
https://wiki.itldc.com/wp-content/uploads/2022/09/Screenshot-2022-09-26-at-15.46.02.png,wiki/legacy/2022-09-Screenshot-2022-09-26-at-15.46.02.png
https://wiki.itldc.com/wp-content/uploads/2022/09/Screenshot-2022-09-26-at-15.25.44.png,wiki/legacy/2022-09-Screenshot-2022-09-26-at-15.25.44.png
